learning_decay,n_components,log_likelihood
0.6,2,-7274769.270364173
0.6,3,-7200359.104563488
0.6,4,-7201478.493582556
0.6,5,-7208063.445067063
0.6,6,-7215130.225656578
0.6,7,-7223739.80753476
0.6,8,-7237165.722680089
0.6,9,-7247459.609241399
0.6,10,-7260948.3691834975
0.6,11,-7269307.872862652
0.6,12,-7277356.288571978
0.6,13,-7286340.058667546
0.6,14,-7297536.664796347
0.6,15,-7310069.171891147
0.75,2,-7276228.480185728
0.75,3,-7201036.9073325815
0.75,4,-7204522.998957632
0.75,5,-7212784.026709947
0.75,6,-7220073.3341459455
0.75,7,-7228809.303158236
0.75,8,-7244801.16260522
0.75,9,-7256760.439363278
0.75,10,-7268924.317641815
0.75,11,-7282354.3744241465
0.75,12,-7292849.729583764
0.75,13,-7302929.548022553
0.75,14,-7311486.185987173
0.75,15,-7329633.839489369
0.9,2,-7277020.871207656
0.9,3,-7202159.069297954
0.9,4,-7208283.535158291
0.9,5,-7214826.289165834
0.9,6,-7224159.3828839185
0.9,7,-7232895.587290565
0.9,8,-7251078.059906413
0.9,9,-7264491.872765383
0.9,10,-7276410.698554197
0.9,11,-7284947.530453207
0.9,12,-7299052.97992384
0.9,13,-7311988.697328424
0.9,14,-7326733.036967134
0.9,15,-7341924.188636616
